============================================================
JD SKILL AUDIT
============================================================
llm                          41965 (41.97%)
python                       12864 (12.86%)
fine-tuning                   9832 (9.83%)
llms                          8506 (8.51%)
retrieval                     5800 (5.80%)
embedding                     5163 (5.16%)
embeddings                    5150 (5.15%)
semantic search               5143 (5.14%)
faiss                         5114 (5.11%)
pinecone                      5107 (5.11%)
sentence transformers         5081 (5.08%)
vector search                 5068 (5.07%)
lora                          2691 (2.69%)
bm25                          1433 (1.43%)
qlora                         1408 (1.41%)
pgvector                      1394 (1.39%)
weaviate                      1389 (1.39%)
milvus                        1384 (1.38%)
qdrant                        1379 (1.38%)
peft                          1377 (1.38%)
ranking                        709 (0.71%)
a/b testing                     88 (0.09%)
bge                             75 (0.07%)
ndcg                            18 (0.02%)
mrr                             13 (0.01%)
