rank,candidate_id,current_title,years_experience,final_score
1,CAND_0039754,Senior Applied Scientist,16.2,98.74
2,CAND_0055905,Senior Machine Learning Engineer,8.1,97.98
3,CAND_0046064,Senior NLP Engineer,8.9,97.584
4,CAND_0080766,Staff Machine Learning Engineer,8.8,97.11
5,CAND_0033861,Senior NLP Engineer,8.0,96.578
6,CAND_0094759,Lead AI Engineer,8.6,95.542
7,CAND_0041611,Staff Machine Learning Engineer,6.4,95.461
8,CAND_0008425,Senior NLP Engineer,7.8,95.312
9,CAND_0077337,Staff Machine Learning Engineer,7.0,94.539
10,CAND_0081846,Lead AI Engineer,6.7,94.423
11,CAND_0088025,Staff Machine Learning Engineer,8.6,94.399
12,CAND_0086022,Senior Applied Scientist,5.3,93.735
13,CAND_0046525,Senior Machine Learning Engineer,6.1,92.952
14,CAND_0071974,Senior AI Engineer,7.8,92.82
15,CAND_0007411,Senior Machine Learning Engineer,8.0,92.765
16,CAND_0055992,AI Engineer,16.9,92.467
17,CAND_0018499,Senior Machine Learning Engineer,7.2,92.181
18,CAND_0041669,Recommendation Systems Engineer,8.0,91.479
19,CAND_0005260,Senior NLP Engineer,5.2,91.457
20,CAND_0030953,Search Engineer,7.8,91.447
21,CAND_0092278,Senior NLP Engineer,6.8,91.146
22,CAND_0011687,Senior NLP Engineer,7.8,90.998
23,CAND_0005649,Senior Data Scientist,7.4,90.695
24,CAND_0068811,Applied ML Engineer,8.0,90.633
25,CAND_0010770,Recommendation Systems Engineer,15.2,90.617
26,CAND_0091534,AI Engineer,16.6,90.412
27,CAND_0079387,AI Engineer,6.9,89.932
28,CAND_0028793,Search Engineer,7.2,89.357
29,CAND_0044855,Senior Data Scientist,6.6,89.066
30,CAND_0002025,Senior AI Engineer,5.9,89.059
31,CAND_0041568,Search Engineer,5.2,88.58
32,CAND_0070398,Machine Learning Engineer,7.2,88.568
33,CAND_0086151,Recommendation Systems Engineer,7.7,88.516
34,CAND_0001610,Machine Learning Engineer,3.0,88.431
35,CAND_0075249,Applied ML Engineer,6.2,88.373
36,CAND_0017960,Recommendation Systems Engineer,7.7,88.153
37,CAND_0083307,Search Engineer,7.8,88.089
38,CAND_0081686,Search Engineer,6.0,88.085
39,CAND_0057563,NLP Engineer,6.8,88.05
40,CAND_0060054,AI Engineer,6.4,87.656
41,CAND_0096172,NLP Engineer,5.2,87.632
42,CAND_0030468,Senior Applied Scientist,5.4,87.484
43,CAND_0053591,AI Engineer,5.3,87.437
44,CAND_0027691,NLP Engineer,6.5,87.415
45,CAND_0069905,Applied ML Engineer,6.6,87.319
46,CAND_0018722,Recommendation Systems Engineer,6.6,87.185
47,CAND_0042029,Senior Data Scientist,6.5,87.085
48,CAND_0089552,Machine Learning Engineer,6.0,87.074
49,CAND_0066376,Applied ML Engineer,5.7,86.97
50,CAND_0031593,Search Engineer,7.8,86.83
51,CAND_0006557,NLP Engineer,7.9,86.575
52,CAND_0045250,Applied ML Engineer,6.6,86.14
53,CAND_0037980,Senior Applied Scientist,9.0,86.13
54,CAND_0013613,Machine Learning Engineer,4.7,85.887
55,CAND_0018549,Recommendation Systems Engineer,6.8,85.688
56,CAND_0047721,Senior Data Scientist,7.0,85.552
57,CAND_0037944,Senior Data Scientist,4.9,85.488
58,CAND_0042506,Search Engineer,4.2,85.483
59,CAND_0015528,Applied ML Engineer,7.4,85.411
60,CAND_0092255,ML Engineer,5.2,85.289
61,CAND_0076904,Senior Data Scientist,4.2,85.282
62,CAND_0095528,Senior Data Scientist,5.3,85.248
63,CAND_0040178,ML Engineer,5.0,85.244
64,CAND_0087630,AI Engineer,7.2,85.084
65,CAND_0027801,NLP Engineer,7.4,85.046
66,CAND_0067643,AI Research Engineer,6.0,85.025
67,CAND_0006418,Machine Learning Engineer,5.7,84.967
68,CAND_0054123,Applied ML Engineer,4.7,84.957
69,CAND_0026532,Recommendation Systems Engineer,4.8,84.925
70,CAND_0010685,NLP Engineer,6.7,84.816
71,CAND_0030348,Machine Learning Engineer,4.5,84.738
72,CAND_0044222,AI Engineer,7.7,84.601
73,CAND_0030031,AI Engineer,5.7,84.552
74,CAND_0044883,AI Engineer,6.3,84.544
75,CAND_0053695,Recommendation Systems Engineer,5.8,84.32
76,CAND_0077285,Recommendation Systems Engineer,5.5,84.179
77,CAND_0061339,Search Engineer,4.2,84.115
78,CAND_0039383,Applied ML Engineer,7.1,84.057
79,CAND_0075574,Machine Learning Engineer,5.7,83.912
80,CAND_0075439,Machine Learning Engineer,4.3,83.877
81,CAND_0096142,Applied ML Engineer,5.0,83.804
82,CAND_0064904,AI Engineer,4.9,83.684
83,CAND_0054394,Recommendation Systems Engineer,4.1,83.596
84,CAND_0064326,Search Engineer,7.6,83.575
85,CAND_0010257,Senior Data Scientist,6.5,83.519
86,CAND_0028422,Junior ML Engineer,5.5,83.388
87,CAND_0062247,AI Engineer,7.3,83.334
88,CAND_0061265,Recommendation Systems Engineer,6.6,83.271
89,CAND_0013536,Applied ML Engineer,14.1,83.208
90,CAND_0040117,Recommendation Systems Engineer,6.5,83.117
91,CAND_0011162,Recommendation Systems Engineer,5.8,83.062
92,CAND_0030827,Senior Data Scientist,5.4,82.996
93,CAND_0064270,Applied ML Engineer,4.2,82.972
94,CAND_0091909,Machine Learning Engineer,6.9,82.86
95,CAND_0061655,Machine Learning Engineer,4.6,82.8
96,CAND_0078042,Applied ML Engineer,4.7,82.687
97,CAND_0043228,Applied ML Engineer,6.8,82.669
98,CAND_0057701,Recommendation Systems Engineer,4.1,82.654
99,CAND_0049896,Search Engineer,7.3,82.494
100,CAND_0076831,Search Engineer,4.0,82.47
101,CAND_0024466,Search Engineer,5.2,82.421
102,CAND_0060072,Staff Machine Learning Engineer,5.7,82.382
103,CAND_0070202,Machine Learning Engineer,5.1,82.244
104,CAND_0056881,Machine Learning Engineer,4.5,82.063
105,CAND_0095619,NLP Engineer,15.6,82.023
106,CAND_0011432,Senior Data Scientist,7.6,81.893
107,CAND_0099401,NLP Engineer,7.7,81.772
108,CAND_0081053,NLP Engineer,5.4,81.661
